,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,y_0,y_1,y_2
405,0.15660961832865564,0.15540662660612187,0.1553979491607058,0.15656799399629165,0.1557781775576924,0.15656559708023024,0.1553873236145359,0.15656542629508838,0.7138997289886996,0.6525729932954968,0.22579044001801998,0.09314135805973488,0.010297505688036739,0.010139242302788037,0.010096510786683006,0.010000000000000089,0.0,0.0,1.0
582,0.1558379255895405,0.1559433966004225,0.15594285168115427,0.15532363256667053,0.15614762859528258,0.1553296356823063,0.15594156269913542,0.1553327995791279,0.6613854379912212,0.6167979323397186,0.1978728151320225,0.0824934018595985,0.01042439819028634,0.010264165691075976,0.010202586780929987,0.010000000000000054,0.0,0.0,1.0
217,0.15446980994422796,0.15117484014354532,0.1511745561401682,0.15277098835061664,0.15526429062061026,0.1527721534481224,0.15117383972764914,0.1527707459538763,0.8481702167281052,0.6837505288450113,0.39074429371022645,0.10669841954969943,0.010084050518679503,0.01004531919054197,0.010014286999119793,0.010000000000000106,0.0,1.0,0.0
185,0.15493264143214505,0.15756592313760323,0.15756543660433509,0.15908215904617273,0.1575642070240574,0.1590736759850278,0.1569174104258636,0.15908383299239334,0.1513756384814842,0.0319166805400305,0.015366628020611025,0.01230178587903361,0.010047890380810953,0.010013336467512578,0.010009194575550594,0.010000000000000004,1.0,0.0,0.0
385,0.15553569040601392,0.1529183903718492,0.15290986310057259,0.15348846345663714,0.15590277461087132,0.1535159782588895,0.15290402820237653,0.1535037592041235,0.8128230331824126,0.711665880639613,0.35703969140003555,0.10821724125564697,0.012091342730677877,0.010798814755610984,0.010440676322853752,0.010000000000000082,0.0,1.0,0.0
398,0.15445313770947453,0.1522793404016716,0.1522804426518634,0.15252334429690761,0.15553036671035814,0.15252361198831335,0.15228220112836136,0.15252442821758405,0.7768229434037256,0.6043862449193141,0.34849516142482084,0.10596455136160428,0.01013567101204409,0.010064857923871233,0.010040036936498794,0.010000000000000082,0.0,1.0,0.0
513,0.1563815966576755,0.15534752935019586,0.15515984118910048,0.15519553882227288,0.15615080850627747,0.15517942633860304,0.15532032048598116,0.15520271114589865,0.764886089593765,0.6868757209155976,0.20989405691393662,0.05693716186973115,0.02074409927297864,0.01048867771372873,0.010186405756331016,0.010000000000000038,0.0,0.0,1.0
59,0.15567119649963232,0.1571600130057586,0.15715890945256702,0.15763841520789496,0.15715940908781525,0.15757887705709187,0.15568857593347823,0.15769266037270388,0.13787276945733723,0.026306747817361198,0.015489010831656703,0.012291690737256031,0.010151516994398832,0.0100271549047194,0.010013103278022297,0.010000000000000005,1.0,0.0,0.0
579,0.15497564583186574,0.15510149715978494,0.1551284249235434,0.15622820037423912,0.15565795358732568,0.15623105540081925,0.15514121338050776,0.15622923458645602,0.6952011930922241,0.646728007577142,0.22276174221918396,0.0879354753189362,0.010896823983647119,0.010336583288674655,0.010222825729057874,0.010000000000000057,0.0,0.0,1.0
493,0.15522362339965065,0.15637710993435217,0.15632331994785184,0.15573463791222691,0.15489775682153856,0.15568564409091287,0.15630772932781392,0.15573865165589676,0.7522560451506172,0.6382563871375404,0.2368131257551122,0.08440636165956635,0.015699611313196003,0.01033838957810027,0.010215205709460613,0.010000000000000064,0.0,0.0,1.0
